CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;CLASSE_UNICA;CNPJ_ADMIN;ADMIN;CLASSE;CNPJ_CLASSE;CONDOM;FUNDO_EXCLUSIVO;COTST_INTERESSE;PRAZO_CONVERSAO_COTA;TP_PRAZO_CONVERSAO_COTA;PRAZO_PAGTO_RESGATE;TP_PRAZO_PAGTO_RESGATE;TAB_I_VL_ATIVO;TAB_I1_VL_DISP;TAB_I2_VL_CARTEIRA;TAB_I2A_VL_DIRCRED_RISCO;TAB_I2A1_VL_CRED_VENC_AD;TAB_I2A2_VL_CRED_VENC_INAD;TAB_I2A21_VL_TOTAL_PARCELA_INAD;TAB_I2A3_VL_CRED_INAD;TAB_I2A4_VL_CRED_DIRCRED_PERFM;TAB_I2A5_VL_CRED_VENCIDO_PENDENTE;TAB_I2A6_VL_CRED_EMP_RECUP;TAB_I2A7_VL_CRED_RECEITA_PUBLICA;TAB_I2A8_VL_CRED_ACAO_JUDIC;TAB_I2A9_VL_CRED_FATOR_RISCO;TAB_I2A10_VL_CRED_DIVERSO;TAB_I2A11_VL_REDUCAO_RECUP;TAB_I2A12_CPF_CNPJ_CEDENTE_1;TAB_I2A12_PR_CEDENTE_1;TAB_I2A12_CPF_CNPJ_CEDENTE_2;TAB_I2A12_PR_CEDENTE_2;TAB_I2A12_CPF_CNPJ_CEDENTE_3;TAB_I2A12_PR_CEDENTE_3;TAB_I2A12_CPF_CNPJ_CEDENTE_4;TAB_I2A12_PR_CEDENTE_4;TAB_I2A12_CPF_CNPJ_CEDENTE_5;TAB_I2A12_PR_CEDENTE_5;TAB_I2A12_CPF_CNPJ_CEDENTE_6;TAB_I2A12_PR_CEDENTE_6;TAB_I2A12_CPF_CNPJ_CEDENTE_7;TAB_I2A12_PR_CEDENTE_7;TAB_I2A12_CPF_CNPJ_CEDENTE_8;TAB_I2A12_PR_CEDENTE_8;TAB_I2A12_CPF_CNPJ_CEDENTE_9;TAB_I2A12_PR_CEDENTE_9;TAB_I2B_VL_DIRCRED_SEM_RISCO;TAB_I2B1_VL_CRED_VENC_AD;TAB_I2B2_VL_CRED_VENC_INAD;TAB_I2B21_VL_TOTAL_PARCELA_INAD;TAB_I2B3_VL_CRED_INAD;TAB_I2B4_VL_CRED_DIRCRED_PERFM;TAB_I2B5_VL_CRED_VENCIDO_PENDENTE;TAB_I2B6_VL_CRED_EMP_RECUP;TAB_I2B7_VL_CRED_RECEITA_PUBLICA;TAB_I2B8_VL_CRED_ACAO_JUDIC;TAB_I2B9_VL_CRED_FATOR_RISCO;TAB_I2B10_VL_CRED_DIVERSO;TAB_I2B11_VL_REDUCAO_RECUP;TAB_I2B12_CPF_CNPJ_CEDENTE_1;TAB_I2B12_PR_CEDENTE_1;TAB_I2B12_CPF_CNPJ_CEDENTE_2;TAB_I2B12_PR_CEDENTE_2;TAB_I2B12_CPF_CNPJ_CEDENTE_3;TAB_I2B12_PR_CEDENTE_3;TAB_I2B12_CPF_CNPJ_CEDENTE_4;TAB_I2B12_PR_CEDENTE_4;TAB_I2B12_CPF_CNPJ_CEDENTE_5;TAB_I2B12_PR_CEDENTE_5;TAB_I2B12_CPF_CNPJ_CEDENTE_6;TAB_I2B12_PR_CEDENTE_6;TAB_I2B12_CPF_CNPJ_CEDENTE_7;TAB_I2B12_PR_CEDENTE_7;TAB_I2B12_CPF_CNPJ_CEDENTE_8;TAB_I2B12_PR_CEDENTE_8;TAB_I2B12_CPF_CNPJ_CEDENTE_9;TAB_I2B12_PR_CEDENTE_9;TAB_I2C_VL_VLMOB;TAB_I2C1_VL_DEBENTURE;TAB_I2C2_VL_CRI;TAB_I2C3_VL_NP_COMERC;TAB_I2C4_VL_LETRA_FINANC;TAB_I2C5_VL_COTA_FUNDO_ICVM555;TAB_I2C5_VL_COTA_FIF;TAB_I2C6_VL_OUTRO;TAB_I2D_VL_TITPUB_FED;TAB_I2E_VL_CDB;TAB_I2F_VL_OPER_COMPROM;TAB_I2G_VL_OUTRO_RF;TAB_I2H_VL_COTA_FIDC;TAB_I2I_VL_COTA_FIDC_NP;TAB_I2J_VL_CONTRATO_FUTURO;TAB_I2_DEBENTURE_CRI;TAB_I2_COTA_FIDC;TAB_I2_VL_OUTRO_ATIVO;TAB_I3_VL_POSICAO_DERIV;TAB_I3A_VL_MERCADO_TERMO;TAB_I3B_VL_MERCADO_OPCAO;TAB_I3C_VL_MERCADO_FUTURO;TAB_I3D_VL_DIFER_SWAP;TAB_I3E_VL_COBERTURA;TAB_I3F_VL_DEPOSITO_MARGEM;TAB_I4_VL_OUTRO_ATIVO;TAB_I4A_VL_CPRAZO;TAB_I4B_VL_LPRAZO
07.742.454/0001-87;GP - FIDC FCVS 2;2024-11-30;N;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;GP FIDC FCVS 2;7742454000187;FECHADO;N;N;;;;;69784756.89;2428.81;69779736.54;63856348.06;84123896.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;20267548.67;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;5923388.48;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2591.54;0.00;2591.54
08.093.745/0001-54;V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTICARTEIRA OUTROS;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;V1 FIDC NP MULTICARTEIRA OUTROS;8093745000154;FECHADO;N;N;;;;;2629540.34;15718.15;2611769.41;2596109.00;2596109.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;15660.41;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2052.78;2052.78;0.00
08.270.249/0001-29;MACCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;MACCRED FIDC;8270249000129;FECHADO;N;S;;;;;52866970.80;711040.99;51468954.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;50218180.43;39022555.33;15685119.14;3025645.69;739332.62;0.00;340120.87;0.00;0.00;0.00;0.00;;5228826.66;82636986000155;11.63;;;;;;;;;;;;;;;;;502564.98;0.00;0.00;0.00;0.00;;502564.98;0.00;254222.66;0.00;493986.80;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;686974.94;686974.94;0.00
08.315.045/0001-67;HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2024-11-30;S;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;8315045000167;FECHADO;N;N;;;;;197315524.24;257715.98;189497309.46;31116958.74;30493615.86;0.00;0.00;789689.38;0.00;0.00;0.00;0.00;0.00;0.00;;166346.50;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;143189690.96;138717062.16;0.00;0.00;17155345.88;0.00;0.00;0.00;0.00;0.00;0.00;;12682717.08;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;00000000000000;0.00;12780353.41;0.00;0.00;0.00;0.00;;12780353.41;0.00;2410306.35;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7560498.80;7560498.80;0.00
08.417.544/0001-65;CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;N;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;CREDITO UNIVERSITARIO FIDC RL;8417544000165;FECHADO;N;N;;;;;1218119289.28;9273211.42;1184812139.45;881157067.93;916945228.13;0.00;0.00;16627989.44;0.00;0.00;0.00;0.00;0.00;0.00;;52416149.64;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;256886660.80;46768410.72;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;21445136.51;0.00;0.00;0.00;21445136.51;0.00;0.00;2588801.90;0.00;2588801.90
08.611.414/0001-69;V3 FIDC MULTICARTEIRA - NP;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;V3 FIDC MULTICARTEIRA;8611414000169;FECHADO;N;N;;;;;669478246.48;10701.15;669450411.93;668855316.41;668855316.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;99999999999999;0.00;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;595095.52;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17133.40;17133.40;0.00
08.621.199/0001-87;FAMCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL NÃO PADRONIZADOS;2024-11-30;S;16.695.922/0001-09;ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;;8621199000187;FECHADO;N;N;;;;;173311818.35;200213.88;170662306.24;0.00;0.00;0.00;0.00;10391912.36;0.00;0.00;0.00;0.00;0.00;0.00;;10391912.36;;;;;;;;;;;;;;;;;;;98741153.74;93593156.47;0.00;0.00;11585755.67;0.00;0.00;0.00;0.00;0.00;0.00;;6437758.40;83647917000100;15.12;00130132000138;10.46;;;;;;;;;;;;;;;71921152.50;0.00;0.00;0.00;0.00;;71921152.50;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2449298.23;2449298.23;0.00
08.632.394/0001-02;RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA;2024-11-30;S;39.669.186/0001-01;HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;;8632394000102;FECHADO;N;N;;;;;1053256414.76;5971290.05;1040446263.38;417195105.53;418434220.68;0.00;0.00;4792569.57;0.00;813914.56;0.00;0.00;0.00;0.00;;6031684.72;;;;;;;;;;;;;;;;;;;406587498.91;396597932.80;0.00;0.00;16145884.79;0.00;0.00;21747.61;0.00;0.00;0.00;;6156318.68;;;;;;;;;;;;;;;;;;;26212405.04;0.00;0.00;0.00;0.00;;26212405.04;0.00;6833662.58;183617591.32;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6838861.33;6295904.88;542956.45
08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2024-11-30;S;62.285.390/0001-40;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;FIDC MULTISSETORIAL ONE7 LP;8654210000105;FECHADO;N;S;;;;;268935859.01;417086.69;263341024.03;22244106.54;18530160.60;2602528.71;914155.83;1990728.80;0.00;119854.69;0.00;0.00;0.00;0.00;;879311.57;99999999999999;0.00;;;;;;;;;;;;;;;;;203828035.92;183936203.36;19924706.97;5808737.04;10571196.91;0.00;604395.44;0.00;0.00;0.00;0.00;;10604071.32;99999999999999;0.00;;;;;;;;;;;;;;;;;31865574.28;0.00;0.00;0.00;0.00;;31865574.28;0.00;460152.12;0.00;4943155.17;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5177748.29;5177747.04;1.25
08.661.352/0001-08;VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;S;34.829.992/0001-86;REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;8661352000108;FECHADO;N;N;;;;;448788289.98;67.85;448788222.13;448548352.00;448548352.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;;;;;;;;;;;239870.13;0.00;0.00;0.00;0.00;;239870.13;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
